#$accelx, accely, accelz, gyrox, gyroy, gyroz, magx, magy, magz#

$-21,-98,206,-26,20,-12,-137,28,-449#

$-21,-99,228,-36,11,-9,-137,28,-449#

$-7,-102,204,-42,5,2,-133,27,-444#

$-21,-101,222,-40,-8,10,-133,27,-444#

$12,-115,203,-36,-8,15,-133,27,-444#

$26,-116,204,-28,-2,33,-133,27,-444#

$11,-124,187,-15,18,48,-133,27,-444#

$25,-119,200,-3,30,56,-133,27,-444#

$30,-121,189,5,54,57,-133,27,-444#

$27,-119,194,14,67,64,-133,27,-444#

$23,-120,185,16,82,68,-133,27,-444#

$35,-108,181,17,110,67,-133,27,-444#

$39,-109,189,10,133,73,-133,27,-444#

$-13,-130,209,8,112,51,-133,27,-444#

$54,-102,222,-4,110,56,-133,27,-444#

$-29,-119,220,-5,74,37,-133,27,-444#

$9,-107,206,-16,77,13,-133,27,-444#

$-56,-123,251,-13,42,1,-133,27,-444#

$-30,-104,200,-22,42,-15,-133,27,-444#

$-81,-94,206,-18,48,-12,-133,27,-444#

$-47,-98,192,-25,23,-12,-133,27,-444#

$-53,-94,204,-31,-17,-8,-133,27,-444#

$-44,-98,201,-41,-33,-15,-137,33,-452#

$-47,-92,214,-52,-65,-20,-137,33,-452#

$-22,-107,203,-58,-63,-21,-137,33,-452#

$-35,-107,224,-58,-30,-6,-137,33,-452#

$-39,-114,204,-43,-6,-3,-137,33,-452#

$12,-125,213,-26,20,28,-137,33,-452#

$28,-125,209,-16,29,51,-137,33,-452#

$48,-119,188,-7,24,65,-137,33,-452#

$36,-110,173,-12,25,72,-137,33,-452#

$20,-107,173,-13,26,74,-137,33,-452#

$-10,-102,152,-28,16,51,-137,33,-452#

$-10,-153,274,-4,6,57,-137,33,-452#

$-5,-151,218,-3,41,61,-137,33,-452#

$14,-130,193,-16,55,68,-137,33,-452#

$10,-90,159,-37,53,64,-137,33,-452#

$-7,-73,164,-46,41,54,-137,33,-452#

$-13,-85,209,-87,31,42,-137,33,-452#

$-22,-89,202,-92,21,23,-137,33,-452#

$-10,-120,305,-93,14,17,-137,33,-452#

$-56,-123,245,-83,-12,7,-137,33,-452#

$-35,-133,245,-75,-27,-7,-135,27,-436#

$254,-110,178,-79,25,-7,-135,27,-436#

$10,-129,219,-50,19,15,-135,27,-436#

$-6,-118,220,-57,-7,14,-135,27,-436#

$0,-111,209,-49,2,23,-135,27,-436#

$-8,-128,222,-51,-28,20,-135,27,-436#

$7,-126,230,-40,-38,24,-135,27,-436#

$17,-126,213,-32,-15,30,-135,27,-436#

$17,-122,210,-8,-6,35,-135,27,-436#

$28,-153,250,23,4,39,-135,27,-436#

$17,-152,221,34,27,43,-135,27,-436#

$21,-120,199,41,25,44,-135,27,-436#

$22,-95,174,49,24,57,-135,27,-436#

$9,-108,207,37,31,59,-135,27,-436#

$18,-104,193,24,32,61,-135,27,-436#

$8,-99,190,23,41,59,-135,27,-436#

$8,-109,187,3,53,59,-135,27,-436#

$-9,-119,203,-9,53,61,-135,27,-436#

$-12,-121,183,-23,44,57,-135,27,-436#

$-14,-135,209,-35,38,42,-135,27,-436#

$-23,-159,205,-30,34,31,-140,24,-436#

$-36,-154,186,-30,44,20,-140,24,-436#

$-15,-157,175,-36,47,17,-140,24,-436#

$-17,-195,203,-23,24,12,-140,24,-436#

$-60,-223,187,-4,7,11,-140,24,-436#

$-48,-208,172,9,-6,14,-140,24,-436#

$-19,-190,128,6,5,14,-140,24,-436#

$-2,-170,130,6,15,10,-140,24,-436#

$-2,-164,131,-9,29,17,-140,24,-436#

$1,-162,200,21,29,14,-140,24,-436#

$6,-85,202,-10,42,25,-140,24,-436#

$8,-67,197,-48,46,20,-140,24,-436#

$-2,-86,173,-65,39,22,-140,24,-436#

$7,-79,148,-86,44,24,-140,24,-436#

